Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
327.346,115.307,588.639,-88.848,19.079,41.338,    ,848.732,-64.803,299.680,-99.730,0.983,-1.938
326.728,114.022,584.324,-88.244,19.187,41.162,    ,848.733,-64.803,299.679,-99.730,0.983,-1.938
327.895,113.012,582.951,-88.095,19.304,41.139,    ,848.733,-64.804,299.678,-99.730,0.983,-1.938
326.817,115.758,580.803,-87.857,19.159,41.037,    ,848.733,-64.804,299.678,-99.730,0.983,-1.938
326.836,115.120,580.205,-87.776,19.210,41.007,    ,848.734,-64.804,299.678,-99.731,0.983,-1.938
326.532,114.434,580.039,-87.788,19.209,41.000,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
326.326,115.365,579.421,-87.685,19.189,40.958,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
326.248,114.767,579.617,-87.697,19.188,40.955,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.964,114.806,579.391,-87.643,19.197,40.935,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.954,115.748,578.430,-87.567,19.179,40.896,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.895,115.169,578.450,-87.583,19.177,40.905,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.895,115.689,578.156,-87.530,19.176,40.882,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.856,115.679,577.695,-87.499,19.167,40.859,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.728,115.660,577.665,-87.485,19.172,40.852,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.552,115.611,577.391,-87.483,19.175,40.849,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.512,115.924,576.999,-87.450,19.174,40.841,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.650,115.934,577.136,-87.431,19.166,40.818,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.454,116.160,577.204,-87.416,19.160,40.810,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.561,116.170,576.557,-87.405,19.164,40.807,    ,848.734,-64.804,299.677,-99.731,0.983,-1.938
325.532,116.052,576.498,-87.398,19.156,40.810,    ,848.735,-64.804,299.677,-99.731,0.983,-1.938
325.385,116.209,576.126,-87.372,19.162,40.785,    ,848.735,-64.804,299.677,-99.731,0.983,-1.938
325.316,116.277,575.939,-87.366,19.180,40.783,    ,848.735,-64.804,299.677,-99.731,0.983,-1.938
325.267,116.366,575.832,-87.354,19.179,40.770,    ,848.735,-64.804,299.677,-99.731,0.983,-1.938
325.297,116.287,575.851,-87.344,19.168,40.767,    ,848.735,-64.804,299.677,-99.731,0.983,-1.938
325.287,116.209,575.881,-87.332,19.164,40.759,    ,848.735,-64.804,299.677,-99.731,0.983,-1.938
325.267,116.326,575.410,-87.321,19.156,40.754,    ,848.735,-64.804,299.677,-99.731,0.983,-1.938
325.091,116.326,575.459,-87.312,19.162,40.747,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.071,116.425,575.371,-87.310,19.171,40.729,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.208,116.287,575.233,-87.301,19.158,40.730,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.110,116.493,574.812,-87.278,19.159,40.739,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.120,116.454,574.635,-87.280,19.164,40.725,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.110,116.660,574.655,-87.269,19.158,40.721,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.022,116.523,574.468,-87.265,19.181,40.711,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.071,116.640,574.459,-87.256,19.158,40.712,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.120,116.513,574.351,-87.256,19.165,40.698,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
325.061,116.591,574.429,-87.239,19.165,40.701,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.846,116.650,574.007,-87.227,19.160,40.700,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.875,116.689,574.135,-87.228,19.165,40.687,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.846,116.836,574.233,-87.216,19.172,40.680,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.895,116.787,573.802,-87.213,19.158,40.678,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.993,116.768,574.076,-87.212,19.155,40.668,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.797,116.778,573.527,-87.200,19.163,40.670,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.679,116.836,573.625,-87.190,19.166,40.665,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.787,116.856,573.782,-87.188,19.161,40.657,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.895,116.885,573.743,-87.191,19.158,40.653,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.757,116.954,573.164,-87.170,19.149,40.652,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.747,116.954,573.321,-87.174,19.162,40.646,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.826,117.082,573.517,-87.167,19.154,40.637,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.698,116.964,573.282,-87.150,19.153,40.639,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.659,117.072,573.056,-87.147,19.154,40.640,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.767,117.052,572.723,-87.151,19.160,40.634,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.630,117.052,572.703,-87.147,19.161,40.633,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.669,117.042,572.860,-87.142,19.169,40.634,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.649,116.964,572.625,-87.142,19.162,40.632,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.679,117.150,572.527,-87.124,19.159,40.618,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.620,117.111,572.536,-87.121,19.156,40.621,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.728,117.238,572.625,-87.117,19.151,40.616,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.669,117.219,572.458,-87.111,19.151,40.613,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.679,117.356,572.576,-87.103,19.155,40.614,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.581,117.229,572.468,-87.101,19.154,40.603,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.532,117.307,572.242,-87.095,19.157,40.600,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.424,117.052,572.409,-87.099,19.153,40.601,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.502,117.288,572.281,-87.099,19.163,40.594,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.473,117.082,572.203,-87.095,19.154,40.592,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.404,117.189,572.331,-87.095,19.160,40.588,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
324.522,117.160,572.144,-87.089,19.155,40.584,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
287.286,109.295,526.671,-82.901,17.820,36.959,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
310.410,117.641,552.668,-85.032,18.824,38.902,    ,848.735,-64.804,299.676,-99.731,0.983,-1.938
299.662,114.002,538.037,-83.476,18.981,37.458,    ,848.734,-64.801,299.676,-99.916,0.977,-1.941
-32.264,47.552,85.528,-26.096,12.561,-4.926,    ,848.733,-64.797,299.674,-100.252,0.966,-1.947
-2.294,66.921,-51.176,-1.547,-0.683,-0.211,    ,848.733,-64.797,299.674,-101.235,0.932,-1.963
-3.864,65.881,-52.324,-1.412,-0.663,-0.456,    ,848.733,-64.796,299.674,-102.165,0.900,-1.978
-2.785,65.714,-52.971,-1.395,-0.786,-0.253,    ,848.733,-64.796,299.674,-103.096,0.868,-1.992
-4.079,64.861,-52.912,-1.365,-0.821,-0.230,    ,848.733,-64.796,299.674,-104.026,0.836,-2.006
-3.716,63.998,-51.568,-1.456,-0.615,-0.432,    ,848.733,-64.796,299.673,-104.890,0.805,-2.018
-4.932,64.302,-51.873,-1.406,-0.621,-0.465,    ,848.733,-64.797,299.673,-105.837,0.772,-2.031
-5.884,64.930,-50.666,-1.353,-0.699,-0.523,    ,848.733,-64.796,299.673,-106.303,0.755,-2.037
-4.285,65.293,-49.539,-1.535,-0.481,-0.688,    ,848.733,-64.797,299.673,-107.250,0.721,-2.050
-6.256,64.675,-47.322,-1.509,-0.480,-0.815,    ,848.733,-64.797,299.673,-108.213,0.687,-2.061
-4.834,64.979,-47.528,-1.545,-0.539,-0.615,    ,848.733,-64.797,299.673,-109.077,0.656,-2.072
-4.756,63.557,-47.381,-1.505,-0.469,-0.776,    ,848.732,-64.797,299.672,-109.925,0.625,-2.081
-5.756,63.508,-46.950,-1.479,-0.535,-0.653,    ,848.732,-64.796,299.672,-110.805,0.593,-2.090
-5.060,63.351,-46.204,-1.570,-0.488,-0.598,    ,848.732,-64.797,299.672,-111.736,0.559,-2.100
-6.099,63.204,-46.047,-1.444,-0.526,-0.719,    ,848.732,-64.797,299.672,-112.683,0.524,-2.109
-6.080,62.370,-45.077,-1.523,-0.460,-0.812,    ,848.732,-64.797,299.672,-113.530,0.493,-2.116
-5.707,62.125,-43.861,-1.638,-0.455,-0.656,    ,848.732,-64.797,299.672,-114.461,0.458,-2.124
-4.481,62.537,-43.292,-1.581,-0.470,-0.697,    ,848.732,-64.797,299.672,-114.942,0.440,-2.128
-5.629,61.370,-43.145,-1.531,-0.469,-0.777,    ,848.732,-64.797,299.672,-115.906,0.405,-2.135
-5.884,62.007,-41.674,-1.561,-0.497,-0.797,    ,848.732,-64.797,299.671,-116.836,0.370,-2.141
-4.972,60.703,-42.174,-1.566,-0.454,-0.714,    ,848.732,-64.797,299.671,-117.783,0.334,-2.147
-4.383,60.546,-41.507,-1.641,-0.509,-0.480,    ,848.732,-64.797,299.671,-118.730,0.299,-2.152
-4.913,60.330,-40.477,-1.626,-0.446,-0.570,    ,848.732,-64.797,299.671,-119.594,0.266,-2.156
-5.452,59.654,-37.643,-1.736,-0.346,-0.695,    ,848.732,-64.797,299.671,-120.508,0.232,-2.160
-4.923,59.320,-36.211,-1.829,-0.274,-0.700,    ,848.732,-64.797,299.671,-121.339,0.201,-2.163
-6.070,59.507,-37.349,-1.632,-0.307,-0.929,    ,848.732,-64.797,299.671,-122.302,0.164,-2.166
-6.148,58.310,-37.202,-1.628,-0.339,-0.667,    ,848.732,-64.797,299.671,-122.767,0.147,-2.168
-6.031,57.379,-35.633,-1.800,-0.270,-0.718,    ,848.732,-64.797,299.670,-124.163,0.094,-2.171
-5.727,57.545,-34.780,-1.910,-0.205,-0.673,    ,848.732,-64.797,299.670,-124.545,0.079,-2.171
-6.864,55.996,-33.554,-1.889,-0.188,-0.773,    ,848.732,-64.797,299.670,-125.475,0.044,-2.172
-7.031,56.143,-31.700,-1.862,-0.200,-0.768,    ,848.732,-64.797,299.670,-126.406,0.009,-2.173
-6.747,55.633,-31.210,-2.012,-0.075,-0.849,    ,848.731,-64.797,299.670,-127.336,-0.027,-2.172
-7.521,54.270,-30.327,-1.932,-0.075,-0.868,    ,848.731,-64.797,299.670,-128.266,-0.062,-2.172
