Fx,Fy,Fz,Mx,My,Mz,,Resultant of Fx and Fy
37.089,2.51,35.051,-0.436,4.473,0.808,,19.7995
49.886,6.433,35.443,-1.713,6.256,1.088,,28.1595
43.728,3.158,39.562,-0.738,4.256,1.052,,23.443
55.182,8.434,43.249,-2.05,6.327,1.104,,31.808
56.516,7.688,35.237,-1.749,6.3,1.363,,32.102
49.543,6.031,35.786,-1.612,6.265,1.063,,27.787
58.251,8.895,40.494,-2.036,6.492,1.213,,33.573
44.806,4.501,30.442,-0.987,5.183,1.074,,24.6535
52.613,6.669,40.278,-1.573,5.63,1.259,,29.641
44.6,2.599,35.6,-0.722,5.042,1.099,,23.5995
40.648,-2.775,33.364,0.105,4.332,1.121,,18.9365
34.941,-10.395,31.609,0.799,2.95,1.151,,12.273
30.214,-17.711,29.736,1.267,2.25,1,,6.2515
26.036,-24.438,29.422,1.853,1.981,1.028,,0.799
