Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz,,
-0.392,-44.228,40.345,2.353,-0.417,1.413,    ,848.697,-64.726,330.713,131.206,-1.235,179.954,,131,44.228,39.269,,74.345
0.029,-45.572,40.178,2.448,-0.293,1.481,    ,848.697,-64.726,330.713,130.607,-1.236,179.966,,131,45.572,39.102,,74.178
-1.51,-47.533,39.619,2.51,-0.431,1.436,    ,848.697,-64.726,330.713,129.41,-1.236,179.992,,129,47.533,38.543,,73.619
-0.863,-46.954,37.825,2.638,-0.443,1.474,    ,848.697,-64.726,330.714,128.212,-1.236,-179.982,,128,46.954,36.749,,71.825
-1.883,-48.739,35.481,2.948,-0.552,1.393,    ,848.697,-64.726,330.714,127.015,-1.235,-179.956,,127,48.739,34.405,,69.481
-1.157,-48.788,35.961,2.886,-0.469,1.507,    ,848.698,-64.726,330.714,125.925,-1.234,-179.933,,126,48.788,34.885,,69.961
-1.01,-49.739,35.167,2.995,-0.545,1.493,    ,848.698,-64.726,330.715,124.706,-1.232,-179.906,,125,49.739,34.091,,69.167
-1.608,-50.269,34.549,3.018,-0.655,1.512,    ,848.698,-64.726,330.715,123.594,-1.23,-179.883,,124,50.269,33.473,,68.549
-1.54,-50.936,32.46,3.128,-0.609,1.535,    ,848.698,-64.725,330.715,122.397,-1.228,-179.857,,122,50.936,31.384,,66.46
-1.569,-51.142,31.136,3.247,-0.675,1.595,    ,848.698,-64.725,330.716,121.2,-1.224,-179.831,,121,51.142,30.06,,65.136
-1.167,-51.044,30.617,3.223,-0.631,1.599,    ,848.698,-64.725,330.716,120.088,-1.221,-179.808,,120,51.044,29.541,,64.617
-0.255,-52.711,30.323,3.363,-0.623,1.666,    ,848.698,-64.725,330.716,118.976,-1.217,-179.784,,119,52.711,29.247,,64.323
-1.196,-52.289,29.93,3.417,-0.685,1.653,    ,848.698,-64.725,330.717,117.779,-1.212,-179.759,,118,52.289,28.854,,63.93
-2.079,-54.309,29.43,3.523,-0.76,1.611,    ,848.698,-64.725,330.717,117.202,-1.21,-179.746,,117,54.309,28.354,,63.43
-1.795,-54.662,26.204,3.557,-0.788,1.74,    ,848.699,-64.725,330.717,116.004,-1.204,-179.721,,116,54.662,25.128,,60.204
-0.49,-54.76,25.488,3.702,-0.714,1.668,    ,848.699,-64.725,330.718,114.786,-1.198,-179.696,,115,54.76,24.412,,59.488
-1.294,-54.564,24.605,3.777,-0.829,1.68,    ,848.699,-64.725,330.718,113.717,-1.192,-179.673,,114,54.564,23.529,,58.605
-1.451,-56.045,24.595,3.836,-0.85,1.706,    ,848.699,-64.725,330.718,112.52,-1.185,-179.649,,113,56.045,23.519,,58.595
-1.981,-56.712,23.899,3.96,-0.894,1.69,    ,848.699,-64.725,330.719,111.28,-1.177,-179.623,,111,56.712,22.823,,57.899
-1.687,-56.29,22.467,4.011,-0.883,1.675,    ,848.699,-64.725,330.719,110.082,-1.169,-179.599,,110,56.29,21.391,,56.467
-1.128,-57.457,20.536,4.04,-0.901,1.861,    ,848.7,-64.725,330.719,108.864,-1.16,-179.574,,109,57.457,19.46,,54.536
-1.108,-56.918,19.104,4.164,-0.906,1.717,    ,848.7,-64.724,330.72,108.244,-1.155,-179.561,,108,56.918,18.028,,53.104
-2.197,-58.683,17.476,4.425,-1.098,1.833,    ,848.7,-64.724,330.72,107.046,-1.146,-179.537,,107,58.683,16.4,,51.476
-0.922,-57.477,17.682,4.26,-0.971,1.916,    ,848.7,-64.724,330.721,105.464,-1.133,-179.506,,105,57.477,16.606,,51.682
-1.167,-57.428,16.672,4.343,-1.095,1.709,    ,848.7,-64.724,330.721,104.951,-1.128,-179.496,,105,57.428,15.596,,50.672
-1.363,-58.418,15.515,4.428,-1.082,1.816,    ,848.7,-64.724,330.721,103.754,-1.117,-179.472,,104,58.418,14.439,,49.515
-2.638,-58.134,13.916,4.694,-1.108,1.657,    ,848.7,-64.724,330.722,102.557,-1.106,-179.449,,103,58.134,12.84,,47.916
-1.824,-58.958,12.729,4.655,-1.07,1.658,    ,848.7,-64.724,330.722,101.36,-1.094,-179.426,,101,58.958,11.653,,46.729
-2.354,-59.114,10.719,4.785,-1.16,1.716,    ,848.7,-64.724,330.722,100.163,-1.082,-179.403,,100,59.114,9.643,,44.719
-0.814,-58.722,11.121,4.735,-1.059,1.832,    ,848.7,-64.724,330.723,99.072,-1.071,-179.383,,99,58.722,10.045,,45.121
-2.363,-58.82,9.738,4.95,-1.264,1.78,    ,848.701,-64.724,330.723,97.854,-1.057,-179.36,,98,58.82,8.662,,43.738
-1.461,-58.408,8.473,4.945,-1.197,1.807,    ,848.701,-64.724,330.724,96.742,-1.045,-179.34,,97,58.408,7.397,,42.473
-1.461,-58.967,7.365,4.985,-1.334,1.905,    ,848.701,-64.724,330.724,95.545,-1.031,-179.318,,96,58.967,6.289,,41.365
-1.304,-59.654,6.806,5.044,-1.356,1.902,    ,848.701,-64.724,330.724,94.947,-1.023,-179.308,,95,59.654,5.73,,40.806
-1.824,-59.36,3.776,5.209,-1.46,1.88,    ,848.701,-64.724,330.725,93.707,-1.008,-179.286,,94,59.36,2.7,,37.776
-1.294,-59.487,2.452,5.282,-1.42,1.814,    ,848.703,-64.737,330.727,92.437,-0.991,-179.265,,92,59.487,1.376,,36.452
-1.579,-59.919,2.089,5.248,-1.434,1.868,    ,848.704,-64.74,330.727,92.275,-0.989,-179.262,,92,59.919,1.013,,36.089
-1.52,-59.536,2.001,5.219,-1.408,1.866,    ,848.704,-64.74,330.727,92.275,-0.989,-179.262,,92,59.536,0.925,,36.001
-1.53,-59.428,1.952,5.22,-1.413,1.863,    ,848.704,-64.74,330.727,92.275,-0.989,-179.262,,92,59.428,0.876,,35.952
-1.51,-59.271,2.55,5.22,-1.404,1.853,    ,848.704,-64.74,330.727,92.275,-0.989,-179.262,,92,59.271,1.474,,36.55
-1.52,-59.438,1.491,5.226,-1.417,1.895,    ,848.704,-64.74,330.727,92.312,-0.99,-179.263,,92,59.438,0.415,,35.491
-0.618,-59.713,1.658,5.25,-1.572,2.013,    ,848.703,-64.736,330.727,92.493,-0.992,-179.266,,92,59.713,0.582,,35.658
-2.089,-59.87,3.295,5.323,-1.569,1.897,    ,848.701,-64.725,330.725,93.472,-1.005,-179.282,,93,59.87,2.219,,37.295
-2.148,-59.232,5.433,5.084,-1.413,1.838,    ,848.701,-64.724,330.724,94.69,-1.02,-179.303,,95,59.232,4.357,,39.433
-3.315,-61.066,7.522,5.094,-1.355,1.726,    ,848.701,-64.724,330.724,95.93,-1.035,-179.325,,96,61.066,6.446,,41.522
-1.471,-59.428,9.042,4.933,-1.313,1.907,    ,848.701,-64.724,330.724,97.127,-1.049,-179.347,,97,59.428,7.966,,43.042
-2.128,-60.115,9.277,4.908,-1.279,1.862,    ,848.701,-64.724,330.723,98.239,-1.061,-179.367,,98,60.115,8.201,,43.277
-2.128,-59.35,10.16,4.884,-1.298,1.84,    ,848.7,-64.725,330.723,99.521,-1.075,-179.391,,100,59.35,9.084,,44.16
-1.53,-58.575,10.709,4.718,-1.196,1.838,    ,848.7,-64.724,330.723,100.098,-1.081,-179.402,,100,58.575,9.633,,44.709
-1.5,-58.153,13.279,4.521,-1.074,1.732,    ,848.7,-64.724,330.722,101.317,-1.094,-179.425,,101,58.153,12.203,,47.279
-1.677,-58.173,14.22,4.459,-1.168,1.825,    ,848.7,-64.724,330.722,102.536,-1.106,-179.449,,103,58.173,13.144,,48.22
-1.334,-58.173,15.701,4.495,-1.01,1.667,    ,848.7,-64.724,330.721,103.498,-1.115,-179.467,,103,58.173,14.625,,49.701
-1.863,-57.8,17.319,4.386,-1.04,1.703,    ,848.7,-64.724,330.721,104.652,-1.126,-179.49,,105,57.8,16.243,,51.319
-1.138,-56.83,17.515,4.296,-0.947,1.712,    ,848.7,-64.724,330.721,105.849,-1.136,-179.514,,106,56.83,16.439,,51.515
-1.579,-57.889,18.172,4.206,-1.014,1.836,    ,848.7,-64.724,330.72,107.068,-1.146,-179.538,,107,57.889,17.096,,52.172
-1.912,-57.29,19.114,4.243,-1.008,1.806,    ,848.7,-64.725,330.72,108.265,-1.155,-179.562,,108,57.29,18.038,,53.114
-1.991,-56.28,20.947,4.133,-1.028,1.653,    ,848.699,-64.725,330.719,109.355,-1.164,-179.584,,109,56.28,19.871,,54.947
-0.961,-56.114,23.536,3.943,-0.889,1.741,    ,848.699,-64.725,330.719,110.51,-1.172,-179.607,,111,56.114,22.46,,57.536
-1.628,-55.466,25.017,3.945,-0.898,1.669,    ,848.699,-64.725,330.719,111.622,-1.179,-179.63,,112,55.466,23.941,,59.017
-2.01,-54.976,25.498,3.835,-0.862,1.54,    ,848.699,-64.725,330.718,112.819,-1.187,-179.655,,113,54.976,24.422,,59.498
-2.569,-55.937,26.292,3.782,-0.841,1.639,    ,848.699,-64.725,330.718,114.059,-1.194,-179.681,,114,55.937,25.216,,60.292
-1.598,-54.26,25.547,3.752,-0.81,1.62,    ,848.699,-64.725,330.718,114.636,-1.197,-179.693,,115,54.26,24.471,,59.547
-1.853,-54.476,27.479,3.62,-0.831,1.622,    ,848.699,-64.725,330.717,115.855,-1.203,-179.718,,116,54.476,26.403,,61.479
-1.922,-54.025,30.352,3.583,-0.765,1.58,    ,848.698,-64.725,330.717,116.966,-1.209,-179.742,,117,54.025,29.276,,64.352
-1.373,-53.27,31.45,3.377,-0.712,1.593,    ,848.699,-64.725,330.717,118.185,-1.214,-179.767,,118,53.27,30.374,,65.45
-2.118,-52.564,31.735,3.388,-0.74,1.583,    ,848.698,-64.725,330.716,119.404,-1.218,-179.793,,119,52.564,30.659,,65.735
-1.638,-52.014,31.656,3.301,-0.719,1.556,    ,848.698,-64.725,330.716,120.494,-1.222,-179.816,,120,52.014,30.58,,65.656
-1.569,-51.102,33.931,3.13,-0.565,1.442,    ,848.698,-64.725,330.716,121.67,-1.226,-179.841,,122,51.102,32.855,,67.931
-1.697,-51.024,36.138,3.043,-0.563,1.459,    ,848.698,-64.725,330.715,122.654,-1.228,-179.862,,123,51.024,35.062,,70.138
-2.207,-51.102,36.716,3.038,-0.613,1.481,    ,848.698,-64.725,330.715,123.894,-1.231,-179.889,,124,51.102,35.64,,70.716
-2.089,-50.19,37.53,3.016,-0.581,1.387,    ,848.698,-64.726,330.715,125.005,-1.233,-179.913,,125,50.19,36.454,,71.53
-0.039,-48.259,37.148,2.851,-0.472,1.527,    ,848.698,-64.726,330.714,126.203,-1.234,-179.939,,126,48.259,36.072,,71.148
-1.863,-48.455,38.913,2.717,-0.563,1.376,    ,848.697,-64.726,330.714,127.421,-1.236,-179.965,,127,48.455,37.837,,72.913
