1.893,-2.275,-11.297,0.737,0.226,0.254,    ,-1244.652,714.287,-99.870,125.479,2.662,-35.651
0.588,-1.952,-11.366,0.707,0.097,0.330,    ,-1240.527,719.728,-96.000,125.478,2.662,-35.650
1.500,-2.363,-12.160,0.845,0.022,0.296,    ,-1238.700,722.126,-94.153,125.478,2.662,-35.650
1.010,-3.089,-12.092,0.849,0.059,0.306,    ,-1235.576,726.199,-90.624,125.478,2.662,-35.650
-0.373,-0.539,-10.709,0.644,-0.087,0.213,    ,-1232.959,729.568,-87.159,125.478,2.662,-35.650
1.540,-2.461,-11.444,0.834,0.062,0.295,    ,-1229.899,733.482,-82.787,125.478,2.661,-35.650
0.608,-0.951,-11.121,0.653,-0.110,0.213,    ,-1228.259,735.578,-80.440,125.478,2.661,-35.650
0.510,-0.559,-11.385,0.587,0.091,0.129,    ,-1223.859,741.206,-74.143,125.478,2.661,-35.650
0.785,-2.265,-10.915,0.814,0.127,0.170,    ,-1219.991,746.152,-68.608,125.478,2.660,-35.650
1.393,-2.491,-10.150,0.935,0.199,0.252,    ,-1218.196,748.448,-66.039,125.478,2.660,-35.650
0.177,-1.000,-9.591,0.496,0.102,0.180,    ,-1215.899,751.387,-62.758,125.478,2.659,-35.650
1.549,-1.795,-10.356,1.052,0.224,0.242,    ,-1213.503,754.464,-59.506,125.478,2.659,-35.650
-0.275,-2.932,-10.169,0.801,0.100,0.178,    ,-1212.083,756.301,-57.711,125.478,2.659,-35.650
-0.078,-0.941,-9.875,0.827,0.147,0.133,    ,-1208.846,760.502,-53.843,125.478,2.659,-35.650
0.275,-1.412,-10.199,0.824,0.332,0.015,    ,-1204.650,765.960,-48.945,125.478,2.658,-35.650
-0.127,-0.510,-9.532,0.601,0.098,0.297,    ,-1198.965,773.353,-42.309,125.477,2.658,-35.650
1.363,-2.756,-10.454,1.144,0.149,0.422,    ,-1195.424,777.959,-38.175,125.477,2.658,-35.649
1.961,-1.422,-10.444,0.824,0.467,0.245,    ,-1187.560,788.186,-28.996,125.477,2.658,-35.649
1.373,-2.775,-11.464,1.326,0.223,0.276,    ,-1179.141,799.135,-19.169,125.477,2.657,-35.649
0.108,-1.922,-10.905,1.093,0.354,0.158,    ,-1174.910,804.638,-14.229,125.477,2.657,-35.648
