Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
7.61,5.884,38.916,0.374,-0.469,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.531,5.953,38.789,0.371,-0.468,-0.579,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.767,5.874,38.769,0.373,-0.48,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.943,38.779,0.369,-0.47,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.728,5.796,38.632,0.363,-0.478,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.864,38.583,0.378,-0.47,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.522,5.992,38.593,0.369,-0.462,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.541,5.855,38.779,0.368,-0.468,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.933,38.857,0.369,-0.465,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.728,5.737,38.759,0.354,-0.477,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.815,38.642,0.368,-0.462,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.796,38.838,0.369,-0.465,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.855,38.642,0.37,-0.475,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,5.962,38.396,0.378,-0.481,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.933,38.946,0.364,-0.468,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.864,38.691,0.38,-0.473,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.718,5.776,38.818,0.361,-0.467,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.669,5.953,38.965,0.368,-0.462,-0.587,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.737,39.063,0.356,-0.461,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.541,5.884,38.955,0.358,-0.465,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,6.06,38.71,0.376,-0.468,-0.577,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.737,5.953,38.651,0.371,-0.48,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.727,38.936,0.362,-0.47,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.531,5.904,38.779,0.359,-0.461,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.884,39.044,0.375,-0.475,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.747,5.933,38.896,0.368,-0.47,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.698,39.112,0.359,-0.47,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.698,5.904,38.906,0.37,-0.473,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.708,5.737,38.681,0.365,-0.475,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.551,5.874,38.769,0.363,-0.467,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.805,38.867,0.368,-0.474,-0.587,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.777,5.805,38.887,0.364,-0.484,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.815,38.955,0.364,-0.475,-0.59,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.864,39.103,0.363,-0.474,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.845,38.798,0.375,-0.474,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.904,38.867,0.361,-0.46,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.551,5.678,38.867,0.368,-0.478,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.855,38.975,0.361,-0.461,-0.587,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.864,38.995,0.374,-0.472,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.796,38.622,0.365,-0.468,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.864,39.063,0.368,-0.467,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.855,38.828,0.363,-0.471,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.708,5.933,39.299,0.364,-0.474,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.531,5.953,38.985,0.376,-0.481,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.727,38.975,0.36,-0.476,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.756,39.014,0.363,-0.46,-0.59,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.884,38.622,0.365,-0.476,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.805,38.74,0.367,-0.471,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.698,5.805,38.965,0.367,-0.475,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.894,38.475,0.369,-0.472,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.688,5.943,38.563,0.365,-0.467,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.786,38.691,0.365,-0.475,-0.579,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.825,38.632,0.37,-0.477,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.669,5.874,38.426,0.37,-0.483,-0.573,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.874,38.583,0.366,-0.473,-0.576,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,5.776,38.524,0.355,-0.468,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.845,38.985,0.369,-0.479,-0.59,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.737,38.661,0.365,-0.468,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.698,5.923,38.514,0.362,-0.472,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.766,38.661,0.363,-0.468,-0.574,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.698,5.953,38.632,0.375,-0.479,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.972,38.71,0.371,-0.474,-0.579,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.502,5.894,38.485,0.372,-0.461,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.708,6.06,38.71,0.383,-0.479,-0.578,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,6.041,38.661,0.372,-0.47,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.845,38.74,0.366,-0.471,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.855,38.681,0.361,-0.463,-0.577,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,6.002,38.71,0.368,-0.473,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.678,38.396,0.363,-0.481,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.688,5.855,38.632,0.367,-0.478,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.894,38.749,0.37,-0.471,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.551,5.756,38.475,0.367,-0.463,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.815,38.73,0.368,-0.48,-0.578,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.688,5.845,38.642,0.373,-0.482,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.943,38.867,0.372,-0.468,-0.576,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.923,38.769,0.362,-0.467,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.943,38.593,0.373,-0.473,-0.578,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.786,38.622,0.361,-0.473,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.815,38.632,0.37,-0.472,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.717,38.798,0.358,-0.474,-0.578,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.718,5.845,38.622,0.363,-0.473,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.473,5.894,38.622,0.369,-0.464,-0.585,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.874,38.642,0.372,-0.479,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.825,38.612,0.371,-0.471,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.913,38.887,0.373,-0.472,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.424,5.776,38.593,0.36,-0.467,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.424,5.776,38.593,0.36,-0.467,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
