Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz
-2.363,-58.82,-24.262,4.95,-1.264,1.78,    ,848.701,-64.724,330.723,97.854,-1.057,-179.36,,98,58.82,8.662
-1.461,-58.408,-25.527,4.945,-1.197,1.807,    ,848.701,-64.724,330.724,96.742,-1.045,-179.34,,97,58.408,7.397
-1.461,-58.967,-26.635,4.985,-1.334,1.905,    ,848.701,-64.724,330.724,95.545,-1.031,-179.318,,96,58.967,6.289
-1.304,-59.654,-27.194,5.044,-1.356,1.902,    ,848.701,-64.724,330.724,94.947,-1.023,-179.308,,95,59.654,5.73
-1.824,-59.36,-30.224,5.209,-1.46,1.88,    ,848.701,-64.724,330.725,93.707,-1.008,-179.286,,94,59.36,2.7
-1.294,-59.487,-31.548,5.282,-1.42,1.814,    ,848.703,-64.737,330.727,92.437,-0.991,-179.265,,92,59.487,1.376
-1.579,-59.919,-31.911,5.248,-1.434,1.868,    ,848.704,-64.74,330.727,92.275,-0.989,-179.262,,92,59.919,1.013
-1.52,-59.536,-31.999,5.219,-1.408,1.866,    ,848.704,-64.74,330.727,92.275,-0.989,-179.262,,92,59.536,0.925
-1.53,-59.428,-32.048,5.22,-1.413,1.863,    ,848.704,-64.74,330.727,92.275,-0.989,-179.262,,92,59.428,0.876
-1.51,-59.271,-31.45,5.22,-1.404,1.853,    ,848.704,-64.74,330.727,92.275,-0.989,-179.262,,92,59.271,1.474
-1.52,-59.438,-32.509,5.226,-1.417,1.895,    ,848.704,-64.74,330.727,92.312,-0.99,-179.263,,92,59.438,0.415
-0.618,-59.713,-32.342,5.25,-1.572,2.013,    ,848.703,-64.736,330.727,92.493,-0.992,-179.266,,92,59.713,0.582
-2.089,-59.87,-30.705,5.323,-1.569,1.897,    ,848.701,-64.725,330.725,93.472,-1.005,-179.282,,93,59.87,2.219
-2.148,-59.232,-28.567,5.084,-1.413,1.838,    ,848.701,-64.724,330.724,94.69,-1.02,-179.303,,95,59.232,4.357
-3.315,-61.066,-26.478,5.094,-1.355,1.726,    ,848.701,-64.724,330.724,95.93,-1.035,-179.325,,96,61.066,6.446
-1.471,-59.428,-24.958,4.933,-1.313,1.907,    ,848.701,-64.724,330.724,97.127,-1.049,-179.347,,97,59.428,7.966
-2.128,-60.115,-24.723,4.908,-1.279,1.862,    ,848.701,-64.724,330.723,98.239,-1.061,-179.367,,98,60.115,8.201
-2.128,-59.35,-23.84,4.884,-1.298,1.84,    ,848.7,-64.725,330.723,99.521,-1.075,-179.391,,100,59.35,9.084
-1.53,-58.575,-23.291,4.718,-1.196,1.838,    ,848.7,-64.724,330.723,100.098,-1.081,-179.402,,100,58.575,9.633
-1.5,-58.153,-20.721,4.521,-1.074,1.732,    ,848.7,-64.724,330.722,101.317,-1.094,-179.425,,101,58.153,12.203
-1.677,-58.173,-19.78,4.459,-1.168,1.825,    ,848.7,-64.724,330.722,102.536,-1.106,-179.449,,103,58.173,13.144
-1.334,-58.173,-18.299,4.495,-1.01,1.667,    ,848.7,-64.724,330.721,103.498,-1.115,-179.467,,103,58.173,14.625
-1.863,-57.8,-16.681,4.386,-1.04,1.703,    ,848.7,-64.724,330.721,104.652,-1.126,-179.49,,105,57.8,16.243
-1.138,-56.83,-16.485,4.296,-0.947,1.712,    ,848.7,-64.724,330.721,105.849,-1.136,-179.514,,106,56.83,16.439
-1.579,-57.889,-15.828,4.206,-1.014,1.836,    ,848.7,-64.724,330.72,107.068,-1.146,-179.538,,107,57.889,17.096
-1.912,-57.29,-14.886,4.243,-1.008,1.806,    ,848.7,-64.725,330.72,108.265,-1.155,-179.562,,108,57.29,18.038
-1.991,-56.28,-13.053,4.133,-1.028,1.653,    ,848.699,-64.725,330.719,109.355,-1.164,-179.584,,109,56.28,19.871
-0.961,-56.114,-10.464,3.943,-0.889,1.741,    ,848.699,-64.725,330.719,110.51,-1.172,-179.607,,111,56.114,22.46
-1.628,-55.466,-8.983,3.945,-0.898,1.669,    ,848.699,-64.725,330.719,111.622,-1.179,-179.63,,112,55.466,23.941
-2.01,-54.976,-8.502,3.835,-0.862,1.54,    ,848.699,-64.725,330.718,112.819,-1.187,-179.655,,113,54.976,24.422
-2.569,-55.937,-7.708,3.782,-0.841,1.639,    ,848.699,-64.725,330.718,114.059,-1.194,-179.681,,114,55.937,25.216
-1.598,-54.26,-8.453,3.752,-0.81,1.62,    ,848.699,-64.725,330.718,114.636,-1.197,-179.693,,115,54.26,24.471
-1.853,-54.476,-6.521,3.62,-0.831,1.622,    ,848.699,-64.725,330.717,115.855,-1.203,-179.718,,116,54.476,26.403
-1.922,-54.025,-3.648,3.583,-0.765,1.58,    ,848.698,-64.725,330.717,116.966,-1.209,-179.742,,117,54.025,29.276
-1.373,-53.27,-2.55,3.377,-0.712,1.593,    ,848.699,-64.725,330.717,118.185,-1.214,-179.767,,118,53.27,30.374
-2.118,-52.564,-2.265,3.388,-0.74,1.583,    ,848.698,-64.725,330.716,119.404,-1.218,-179.793,,119,52.564,30.659
-1.638,-52.014,-2.344,3.301,-0.719,1.556,    ,848.698,-64.725,330.716,120.494,-1.222,-179.816,,120,52.014,30.58
-1.569,-51.102,-0.069,3.13,-0.565,1.442,    ,848.698,-64.725,330.716,121.67,-1.226,-179.841,,122,51.102,32.855
-1.697,-51.024,2.138,3.043,-0.563,1.459,    ,848.698,-64.725,330.715,122.654,-1.228,-179.862,,123,51.024,35.062
-2.207,-51.102,2.716,3.038,-0.613,1.481,    ,848.698,-64.725,330.715,123.894,-1.231,-179.889,,124,51.102,35.64
-2.089,-50.19,3.53,3.016,-0.581,1.387,    ,848.698,-64.726,330.715,125.005,-1.233,-179.913,,125,50.19,36.454
-0.039,-48.259,3.148,2.851,-0.472,1.527,    ,848.698,-64.726,330.714,126.203,-1.234,-179.939,,126,48.259,36.072
-1.863,-48.455,4.913,2.717,-0.563,1.376,    ,848.697,-64.726,330.714,127.421,-1.236,-179.965,,127,48.455,37.837
-1.442,-47.592,6.061,2.722,-0.472,1.379,    ,848.697,-64.726,330.714,128.619,-1.236,-179.991,,129,47.592,38.985
-0.412,-46.552,8.365,2.499,-0.391,1.321,    ,848.697,-64.726,330.714,129.217,-1.236,179.996,,129,46.552,41.289
-2.118,-46.523,8.865,2.547,-0.495,1.281,    ,848.697,-64.726,330.713,130.393,-1.236,179.971,,130,46.523,41.789
-0.883,-45.768,9.032,2.385,-0.378,1.414,    ,848.697,-64.726,330.713,131.612,-1.235,179.945,,132,45.768,41.956
-2.216,-44.944,9.973,2.392,-0.435,1.243,    ,848.696,-64.727,330.712,132.83,-1.233,179.919,,133,44.944,42.897
-1.912,-43.944,11.513,2.288,-0.377,1.192,    ,848.696,-64.727,330.712,133.942,-1.232,179.895,,134,43.944,44.437
-1.187,-43.247,13.641,2.108,-0.318,1.245,    ,848.696,-64.727,330.712,135.14,-1.229,179.869,,135,43.247,46.565
