Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
-62.537,19.172,-27.959,1.356,-3.752,-3.739,    ,1012.880,-408.480,664.336,-120.625,-73.848,-115.982
-62.870,17.946,-29.381,1.564,-3.788,-3.680,    ,1029.097,-396.288,661.495,-121.110,-73.318,-112.844
-62.596,20.162,-28.792,1.310,-3.734,-3.680,    ,1047.603,-380.807,658.310,-121.538,-72.679,-109.256
-62.704,20.918,-30.175,1.334,-3.744,-3.634,    ,1062.624,-366.848,655.773,-121.787,-72.132,-106.321
-62.606,21.339,-29.557,1.282,-3.731,-3.657,    ,1079.573,-349.363,652.972,-121.959,-71.479,-102.958
-62.557,22.859,-29.685,1.147,-3.717,-3.678,    ,1092.975,-334.020,650.812,-122.008,-70.931,-100.237
-62.390,21.879,-29.283,1.342,-3.776,-3.661,    ,1108.052,-314.838,648.449,-121.964,-70.276,-97.079
-62.557,21.830,-29.361,1.264,-3.748,-3.666,    ,1115.484,-304.500,647.315,-121.899,-69.935,-95.471
-62.311,22.153,-29.518,1.246,-3.752,-3.630,    ,1115.484,-304.500,647.315,-121.899,-69.935,-95.471
-62.959,20.682,-31.254,1.378,-3.777,-3.641,    ,1116.839,-304.631,653.990,-121.798,-71.663,-95.214
-63.106,20.378,-31.156,1.407,-3.782,-3.670,    ,1117.259,-304.629,656.046,-121.770,-72.196,-95.132
-61.674,23.310,-28.949,1.129,-3.688,-3.645,    ,1114.294,-304.207,641.385,-122.000,-68.399,-95.689
-60.046,25.674,-26.605,0.908,-3.571,-3.629,    ,1111.832,-303.051,628.920,-122.240,-65.163,-96.129
-58.408,28.037,-25.213,0.695,-3.467,-3.644,    ,1109.002,-300.735,614.232,-122.559,-61.325,-96.628
-56.290,30.812,-23.595,0.437,-3.327,-3.547,    ,1106.721,-298.021,602.088,-122.847,-58.118,-97.033
-54.211,33.009,-21.280,0.253,-3.197,-3.520,    ,1104.105,-293.855,587.774,-123.212,-54.282,-97.512
-51.485,35.579,-19.349,-0.001,-3.059,-3.417,    ,1102.020,-289.619,576.037,-123.533,-51.078,-97.912
-49.161,37.569,-17.338,-0.192,-2.913,-3.406,    ,1100.019,-284.666,564.451,-123.869,-47.848,-98.316
-46.209,39.374,-15.730,-0.353,-2.719,-3.333,    ,1097.787,-277.926,551.084,-124.285,-44.018,-98.800
-43.110,41.208,-14.259,-0.521,-2.546,-3.195,    ,1096.017,-271.481,540.089,-124.653,-40.765,-99.217
-40.580,42.826,-12.827,-0.712,-2.416,-3.023,    ,1094.385,-264.464,529.559,-125.031,-37.541,-99.639
-37.069,44.493,-11.287,-0.879,-2.208,-2.892,    ,1092.615,-255.363,517.594,-125.496,-33.718,-100.150
-33.568,45.503,-9.463,-1.022,-2.046,-2.761,    ,1091.279,-247.140,508.075,-125.901,-30.527,-100.589
-30.155,46.719,-8.600,-1.156,-1.875,-2.555,    ,1089.858,-236.602,497.303,-126.406,-26.711,-101.131
-26.507,47.876,-7.237,-1.267,-1.674,-2.416,    ,1088.833,-227.327,488.922,-126.842,-23.553,-101.594
-23.183,48.298,-6.414,-1.362,-1.510,-2.240,    ,1087.934,-217.419,480.934,-127.303,-20.345,-102.082
-19.692,48.857,-6.208,-1.420,-1.360,-2.079,    ,1087.023,-204.460,471.779,-127.906,-16.352,-102.714
-15.593,49.308,-4.746,-1.515,-1.150,-1.857,    ,1086.463,-193.604,465.099,-128.415,-13.152,-103.245
-12.337,49.671,-3.825,-1.552,-0.980,-1.716,    ,1086.059,-182.480,459.089,-128.943,-9.985,-103.793
-7.698,49.582,-2.873,-1.625,-0.815,-1.440,    ,1085.775,-168.750,452.725,-129.610,-6.201,-104.482
-4.266,49.141,-2.089,-1.592,-0.615,-1.267,    ,1085.707,-156.967,448.119,-130.200,-3.045,-105.089
-0.608,48.563,-1.716,-1.629,-0.471,-1.035,    ,1085.831,-142.351,443.425,-130.959,0.776,-105.868
3.932,47.984,-1.402,-1.628,-0.283,-0.746,    ,1086.114,-129.671,440.214,-131.649,4.024,-106.574
7.306,47.474,-1.736,-1.607,-0.116,-0.537,    ,1086.543,-117.258,437.813,-132.358,7.155,-107.297
11.248,46.327,-1.599,-1.561,0.063,-0.330,    ,1087.249,-102.372,435.868,-133.260,10.863,-108.216
14.847,44.963,-2.089,-1.477,0.244,-0.108,    ,1087.999,-89.882,435.008,-134.070,13.946,-109.039
17.770,44.257,-1.412,-1.461,0.334,0.095,    ,1089.104,-74.661,434.899,-135.135,17.681,-110.119
19.113,43.238,-1.942,-1.428,0.387,0.207,    ,1089.250,-72.846,434.955,-135.268,18.125,-110.254
19.113,43.483,-0.716,-1.419,0.426,0.110,    ,1089.250,-72.846,434.955,-135.458,18.689,-110.856
22.271,42.404,-1.687,-1.298,0.522,0.378,    ,1089.250,-72.846,434.955,-136.410,21.225,-113.643
25.291,40.609,-2.971,-1.175,0.633,0.635,    ,1089.250,-72.846,434.955,-137.755,24.211,-117.123
27.900,39.325,-4.433,-1.036,0.712,0.829,    ,1089.250,-72.846,434.955,-139.064,26.655,-120.171
30.244,37.510,-5.276,-0.888,0.800,0.935,    ,1089.250,-72.846,434.955,-140.868,29.497,-124.003
32.097,35.294,-4.031,-0.835,0.932,1.119,    ,1089.250,-72.846,434.955,-142.596,31.796,-127.390
34.686,32.999,-4.884,-0.676,1.003,1.338,    ,1089.250,-72.846,434.955,-144.901,34.390,-131.610
36.353,30.656,-6.521,-0.521,1.073,1.505,    ,1089.250,-72.846,434.955,-147.052,36.432,-135.320
38.295,27.841,-7.100,-0.367,1.136,1.723,    ,1089.250,-72.846,434.955,-149.974,38.757,-140.107
40.296,24.811,-7.159,-0.226,1.200,1.845,    ,1089.250,-72.846,434.955,-152.650,40.525,-144.300
41.453,21.830,-7.296,-0.065,1.292,1.969,    ,1089.250,-72.846,434.955,-156.174,42.434,-149.617
42.767,18.662,-5.874,0.064,1.349,2.164,    ,1089.250,-72.846,434.955,-159.424,43.849,-154.368
43.404,15.740,-6.590,0.219,1.382,2.251,    ,1089.250,-72.846,434.955,-163.487,45.235,-160.158
44.316,12.984,-8.100,0.364,1.370,2.462,    ,1089.250,-72.846,434.955,-167.137,46.169,-165.256
44.257,9.856,-8.679,0.520,1.391,2.457,    ,1089.250,-72.846,434.955,-171.727,46.980,-171.573
45.062,6.669,-9.346,0.766,1.415,2.651,    ,1089.250,-72.846,434.955,-175.677,47.384,-176.956
44.973,3.324,-9.620,0.936,1.354,2.779,    ,1089.250,-72.846,434.955,179.474,47.531,176.467
44.051,0.294,-8.316,1.015,1.422,2.757,    ,1089.250,-72.846,434.955,175.502,47.371,171.076
43.787,-2.609,-8.463,1.207,1.367,2.815,    ,1089.250,-72.846,434.955,170.812,46.848,164.678
43.296,-5.168,-9.817,1.399,1.307,2.866,    ,1089.250,-72.846,434.955,167.005,46.140,159.432
41.933,-8.600,-10.081,1.551,1.249,2.976,    ,1089.250,-72.846,434.955,162.686,44.992,153.386
41.090,-11.650,-7.855,1.657,1.265,2.890,    ,1089.250,-72.846,434.955,159.278,43.792,148.516
39.629,-15.485,-7.208,1.730,1.203,2.960,    ,1089.250,-72.846,434.955,155.403,42.052,142.829
38.148,-17.574,-6.620,1.893,1.138,2.905,    ,1089.250,-72.846,434.955,152.479,40.421,138.394
36.324,-20.996,-5.992,2.003,1.096,2.808,    ,1089.250,-72.846,434.955,149.357,38.304,133.475
34.490,-23.811,-6.374,2.099,0.985,2.866,    ,1089.250,-72.846,434.955,146.932,36.327,129.476
33.892,-24.330,-4.697,2.129,1.002,2.792,    ,1089.250,-72.846,434.955,146.157,35.621,128.156
35.628,-24.203,-3.344,1.971,1.089,2.764,    ,1089.250,-72.846,434.955,147.755,37.035,130.853
